$cid,CCTVID,LinkID,LookingViews_bearing,LookingViews_image,VideoStreamURL,VideoImageURL,ImageRefreshRate,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,RoadSection_Start,RoadSection_End,LocationMile,LayoutMapURL,SubAuthorityCode,Version
1,CCTV-N1-S-0.01-M,,,,,,,0,121.73556,25.122778,,,,,基隆端,基隆交流道,0K+010,,NFB-NR,
2,CCTV-N1-S-0.07-M,0000100000000C,,,,,,0,121.734985,25.12189,000010,國道1號,0,0,基隆端,基隆交流道,0K+070,,NFB-NR,
3,CCTV-N1-S-0.1-M,0000100000000C,,,,,,0,121.734535,25.121284,000010,國道1號,0,0,基隆端,基隆交流道,0K+100,,NFB-NR,
4,CCTV-N1-S-0.25-M,0000100000000C,,,,,,0,121.733376,25.120106,000010,國道1號,0,0,基隆端,基隆交流道,0K+250,,NFB-NR,
5,CCTV-N1-S-0.3-M,0000100000000C,,,,,,0,121.733086,25.119884,000010,國道1號,0,0,基隆端,基隆交流道,0K+300,,NFB-NR,
6,CCTV-N1-S-0.7-M,,,,,,,0,121.73556,25.117607,,,,,基隆端,基隆交流道,0K+700,,NFB-NR,
7,CCTV-N1-S-1-M,0000100000080C,,,,,,0,121.728615,25.115833,000010,國道1號,0,0,基隆端,基隆交流道,1K+000,,NFB-NR,
8,CCTV-N1-S-2.8-M,,,,,,,0,121.728836,25.104769,,,,,八堵交流道,大華系統交流道,2K+800,,NFB-NR,
9,CCTV-N1-S-3.9-M,0000100000300C,,,,,,0,121.70883,25.100252,000010,國道1號,0,0,八堵交流道,大華系統交流道,3K+900,,NFB-NR,
10,CCTV-N1-S-4.57-M,0000100000400C,,,,,,0,121.70361,25.0975,000010,國道1號,0,0,八堵交流道,大華系統交流道,4K+570,,NFB-NR,
11,CCTV-N1-S-4.9-M,,,,,,,0,121.69972,25.097778,,,,,八堵交流道,大華系統交流道,4K+900,,NFB-NR,
12,CCTV-N1-S-6.85-M,0000100000680C,,,,,,0,121.68694,25.086945,000010,國道1號,0,0,五堵交流道,汐止交流道,6K+850,,NFB-NR,
13,CCTV-N1-S-8-M,0000100000790C,,,,,,0,121.67555,25.085556,000010,國道1號,0,0,五堵交流道,汐止交流道,8K+000,,NFB-NR,
14,CCTV-N1-S-8.8-M,0000100000840F,,,,,,0,121.668655,25.081947,000010,國道1號,0,0,五堵交流道,汐止交流道,8K+800,,NFB-NR,
15,CCTV-N1-S-9.075-M,0000100000900F,,,,,,0,121.66461,25.07935,000010,國道1號,0,0,五堵交流道,汐止交流道,9K+075,,NFB-NR,
16,CCTV-N1-S-11.55-M,,,,,,,0,121.64389,25.072779,,,,,汐止系統交流道,高架汐止端,11K+550,,NFB-NR,
17,CCTV-N1-S-13-M,0000100001280F,,,,,,0,121.63111,25.06722,000010,國道1號,0,0,汐止系統交流道,高架汐止端,13K+000,,NFB-NR,
18,CCTV-N1-S-22.9-M,0000100002200A,,,,,,0,121.53438,25.072824,000010,國道1號,0,0,內湖交流道,圓山交流道,22K+900,,NFB-NR,
19,CCTV-N1-S-23.33-M,,,,,,,0,121.532,25.072971,,,,,圓山交流道,台北交流道,23K+330,,NFB-NR,
20,CCTV-N1-S-27.01-M,0000100002660F,,,,,,0,121.496284,25.076418,000010,國道1號,0,0,台北交流道,三重交流道,27K+010,,NFB-NR,
21,CCTV-N1-S-32.7-M,,,,,,,0,121.44078,25.0697,,,,,五股轉接道交流道,五股交流道,32K+700,,NFB-NR,
22,CCTV-N1-S-32.98-M,,,,,,,0,121.43683,25.07039,,,,,五股轉接道交流道,五股交流道,32K+980,,NFB-NR,
23,CCTV-N1-S-33.8-M,,,,,,,0,121.42998,25.06861,,,,,五股交流道,高公局交流道,33K+800,,NFB-NR,
24,CCTV-N1-S-34.02-M,0000100003400F,,,,,,0,121.42771,25.068138,000010,國道1號,0,0,五股交流道,高公局交流道,34K+020,,NFB-NR,
25,CCTV-N1-S-34.4-M,0000100003400F,,,,,,0,121.42483,25.066692,000010,國道1號,0,0,高公局交流道,泰山轉接道交流道,34K+400,,NFB-NR,
26,CCTV-N1-S-35.16-M,0000100003500F,,,,,,0,121.41791,25.063253,000010,國道1號,0,0,高公局交流道,泰山轉接道交流道,35K+160,,NFB-NR,
27,CCTV-N1-S-36.12-M,0000100003520F,,,,,,0,121.41048,25.058725,000010,國道1號,0,0,泰山轉接道交流道,林口交流道,36K+120,,NFB-NR,
28,CCTV-N1-S-38.25-M,0000100003800F,,,,,,0,121.3933,25.062868,000010,國道1號,0,0,泰山轉接道交流道,林口交流道,38K+250,,NFB-NR,
29,CCTV-N1-S-40.83-M,,,,,,,0,121.36885,25.06565,,,,,泰山轉接道交流道,林口交流道,40K+830,,NFB-NR,
30,CCTV-N1-S-40.85-M,,,,,,,0,121.368385,25.065762,,,,,泰山轉接道交流道,林口交流道,40K+850,,NFB-NR,
31,CCTV-N1-S-41-M,,,,,,,0,121.3668,25.065886,,,,,泰山轉接道交流道,林口交流道,41K+000,,NFB-NR,
32,CCTV-N1-S-41.85-M,,,,,,,0,121.35852,25.065115,,,,,林口交流道,桃園交流道,41K+850,,NFB-NR,
33,CCTV-N1-S-44.38-M,0000100004400H,,,,,,0,121.33485,25.062084,000010,國道1號,0,0,林口交流道,桃園交流道,44K+380,,NFB-NR,
34,CCTV-N1-S-47.505-M,0000100004700H,,,,,,0,121.311134,25.044659,000010,國道1號,0,0,林口交流道,桃園交流道,47K+505,,NFB-NR,
35,CCTV-N1-S-51-M,0000100005000H,,,,,,0,121.28917,25.032087,000010,國道1號,0,0,桃園交流道,機場系統交流道,51K+000,,NFB-NR,
36,CCTV-N1-S-51.38-M,0000100005100H,,,,,,0,121.27907,25.02414,000010,國道1號,0,0,桃園交流道,機場系統交流道,51K+380,,NFB-NR,
37,CCTV-N1-S-52.77-M,0000100005200H,,,,,,0,121.26953,25.01591,000010,國道1號,0,0,機場系統交流道,中壢服務區,52K+770,,NFB-NR,
38,CCTV-N1-S-55-M,0000100005480H,,,,,,0,121.252785,25.002836,000010,國道1號,0,0,機場系統交流道,中壢服務區,55K+000,,NFB-NR,
39,CCTV-N1-S-55-M,0000100005480H,,,,,,0,121.252785,25.002836,000010,國道1號,0,0,機場系統交流道,中壢服務區,55K+000,,NFB-NR,
40,CCTV-N1-S-55.3-M,,,,,,,0,121.251495,25.004074,,,,,中壢服務區,內壢交流道,55K+300,,NFB-NR,
41,CCTV-N1-S-55.3-M,,,,,,,0,121.25219,25.004307,,,,,中壢服務區,內壢交流道,55K+300,,NFB-NR,
42,CCTV-N1-S-57.95-M,0000100005750H,,,,,,0,121.23269,24.984125,000010,國道1號,0,0,內壢交流道,中壢轉接一交流道,57K+950,,NFB-NR,
43,CCTV-N1-S-62.2-M,0000100006200H,,,,,,0,121.200836,24.958511,000010,國道1號,0,0,中壢轉接二交流道,中壢交流道,62K+200,,NFB-NR,
44,CCTV-N1-S-64-M,0000100006300H,,,,,,0,121.193855,24.94357,000010,國道1號,0,0,中壢交流道,平鎮系統交流道,64K+000,,NFB-NR,
45,CCTV-N1-S-65.92-M,0000100006570H,,,,,,0,121.181854,24.931446,000010,國道1號,0,0,平鎮系統交流道,幼獅交流道,65K+920,,NFB-NR,
46,CCTV-N1-S-67.3-M,0000100006700H,,,,,,0,121.170685,24.924847,000010,國道1號,0,0,平鎮系統交流道,幼獅交流道,67K+300,,NFB-NR,
47,CCTV-N1-S-72.675-M,0000100007200H,,,,,,0,121.13417,24.895832,000010,國道1號,0,0,高架楊梅端,湖口交流道,72K+675,,NFB-NR,
48,CCTV-N1-S-75.39-M,0000100007510J,,,,,,0,121.10778,24.893333,000010,國道1號,0,0,高架楊梅端,湖口交流道,75K+390,,NFB-NR,
49,CCTV-N1-S-76.453-M,0000100007600J,,,,,,0,121.09798,24.890203,000010,國道1號,0,0,高架楊梅端,湖口交流道,76K+453,,NFB-NR,
50,CCTV-N1-S-78.6-M,0000100007800J,,,,,,0,121.07806,24.883888,000010,國道1號,0,0,高架楊梅端,湖口交流道,78K+600,,NFB-NR,
51,CCTV-N1-S-82.02-M,0000100008100J,,,,,,0,121.04667,24.876667,000010,國道1號,0,0,高架楊梅端,湖口交流道,82K+020,,NFB-NR,
52,CCTV-N1-S-82.9-M,0000100008200J,,,,,,0,121.03778,24.876944,000010,國道1號,0,0,高架楊梅端,湖口交流道,82K+900,,NFB-NR,
53,CCTV-N1-S-83.75-M,,,,,,,0,121.02944,24.876389,,,,,高架楊梅端,湖口交流道,83K+750,,NFB-NR,
54,CCTV-N1-S-84.6-M,0000100008440J,,,,,,0,121.021385,24.873056,000010,國道1號,0,0,湖口交流道,湖口服務區,84K+600,,NFB-NR,
55,CCTV-N1-S-85.46-M,0000100008500J,,,,,,0,121.01475,24.867764,000010,國道1號,0,0,湖口交流道,湖口服務區,85K+460,,NFB-NR,
56,CCTV-N1-S-86.09-M,0000100008600J,,,,,,0,121.01178,24.8634,000010,國道1號,0,0,湖口交流道,湖口服務區,86K+090,,NFB-NR,
57,CCTV-N1-S-86.7-M,,,,,,,0,121.008514,24.85694,,,,,湖口服務區,竹北交流道,86K+700,,NFB-NR,
58,CCTV-N1-S-86.7-M,,,,,,,0,121.00875,24.856878,,,,,湖口服務區,竹北交流道,86K+700,,NFB-NR,
59,CCTV-N1-S-86.7-M,,,,,,,0,121.00926,24.857813,,,,,湖口服務區,竹北交流道,86K+700,,NFB-NR,
60,CCTV-N1-S-86.75-M,,,,,,,0,121.01041,24.857422,,,,,湖口服務區,竹北交流道,86K+750,,NFB-NR,
61,CCTV-N1-S-86.9-M,,,,,,,0,121.00992,24.85721,,,,,湖口服務區,竹北交流道,86K+900,,NFB-NR,
62,CCTV-N1-S-86.9-M,,,,,,,0,121.00992,24.85721,,,,,湖口服務區,竹北交流道,86K+900,,NFB-NR,
63,CCTV-N1-S-88.59-M,0000100008800J,,,,,,0,121.021385,24.844444,000010,國道1號,0,0,湖口服務區,竹北交流道,88K+590,,NFB-NR,
64,CCTV-N1-S-91-M,0000100009060J,,,,,,0,121.01714,24.82386,000010,國道1號,0,0,湖口服務區,竹北交流道,91K+000,,NFB-NR,
65,CCTV-N1-S-91-M,0000100009060J,,,,,,0,121.01714,24.82386,000010,國道1號,0,0,湖口服務區,竹北交流道,91K+000,,NFB-NR,
66,CCTV-N1-S-91.8-M,0000100009140J,,,,,,0,121.013336,24.8175,000010,國道1號,0,0,竹北交流道,新竹交流道,91K+800,,NFB-NR,
67,CCTV-N1-S-93-M,0000100009240O,,,,,,0,121.010056,24.807636,000010,國道1號,0,0,竹北交流道,新竹交流道,93K+000,,NFB-NR,
68,CCTV-N1-S-94.9-M,0000100009470O,,,,,,0,121.00545,24.78977,000010,國道1號,0,0,竹北交流道,新竹交流道,94K+900,,NFB-NR,
69,CCTV-N1-S-95.92-M,,,,,,,0,121.00325,24.781622,,,,,新竹交流道,新竹系統交流道,95K+920,,NFB-NR,
70,CCTV-N1-S-98.89-M,0000100009800J,,,,,,0,120.99111,24.760555,000010,國道1號,0,0,新竹交流道,新竹系統交流道,98K+890,,NFB-NR,
71,CCTV-N1-S-101.035-M,0000100010100J,,,,,,0,120.97611,24.746668,000010,國道1號,0,0,新竹系統交流道,頭份交流道,101K+035,,NFB-CR,
72,CCTV-N1-S-101.04-M,0000100010100J,,,,,,0,120.97611,24.746668,000010,國道1號,0,0,新竹系統交流道,頭份交流道,101K+040,,NFB-CR,
73,CCTV-N1-S-103.005-M,0000100010200J,,,,,,0,120.96468,24.73341,000010,國道1號,0,0,新竹系統交流道,頭份交流道,103K+005,,NFB-CR,
74,CCTV-N1-S-105.695-M,0000100010500J,,,,,,0,120.94125,24.726423,000010,國道1號,0,0,新竹系統交流道,頭份交流道,105K+695,,NFB-CR,
75,CCTV-N1-S-106.4-M,0000100010600O,,,,,,0,120.93438,24.722942,000010,國道1號,0,0,新竹系統交流道,頭份交流道,106K+400,,NFB-CR,
76,CCTV-N1-S-107.34-M,0000100010730K,,,,,,0,120.92972,24.71577,000010,國道1號,0,0,新竹系統交流道,頭份交流道,107K+340,,NFB-CR,
77,CCTV-N1-S-109.01-M,0000100010900K,,,,,,0,120.9259,24.701473,000010,國道1號,0,0,新竹系統交流道,頭份交流道,109K+010,,NFB-CR,
78,CCTV-N1-S-112.21-M,0000100011200K,,,,,,0,120.905396,24.680141,000010,國道1號,0,0,頭份交流道,頭屋交流道,112K+210,,NFB-CR,
79,CCTV-N1-S-114.64-M,0000100011400K,,,,,,0,120.8859,24.668983,000010,國道1號,0,0,頭份交流道,頭屋交流道,114K+640,,NFB-CR,
80,CCTV-N1-S-115-M,0000100011500K,,,,,,0,120.8839,24.665903,000010,國道1號,0,0,頭份交流道,頭屋交流道,115K+000,,NFB-CR,
81,CCTV-N1-S-117.15-M,0000100011700K,,,,,,0,120.87706,24.647938,000010,國道1號,0,0,頭份交流道,頭屋交流道,117K+150,,NFB-CR,
82,CCTV-N1-S-117.68-M,0000100011700K,,,,,,0,120.87329,24.64461,000010,國道1號,0,0,頭份交流道,頭屋交流道,117K+680,,NFB-CR,
83,CCTV-N1-S-118.63-M,0000100011800K,,,,,,0,120.86695,24.638336,000010,國道1號,0,0,頭份交流道,頭屋交流道,118K+630,,NFB-CR,
84,CCTV-N1-S-121.355-M,0000100012100K,,,,,,0,120.86339,24.614822,000010,國道1號,0,0,頭份交流道,頭屋交流道,121K+355,,NFB-CR,
85,CCTV-N1-S-123.56-M,0000100012300K,,,,,,0,120.86058,24.596045,000010,國道1號,0,0,頭份交流道,頭屋交流道,123K+560,,NFB-CR,
86,CCTV-N1-S-125.94-M,0000100012540K,,,,,,0,120.85488,24.576117,000010,國道1號,0,0,頭份交流道,頭屋交流道,125K+940,,NFB-CR,
87,CCTV-N1-S-131.2-M,0000100013100K,,,,,,0,120.828865,24.536043,000010,國道1號,0,0,頭屋交流道,苗栗交流道,131K+200,,NFB-CR,
88,CCTV-N1-S-132.75-M,0000100013240K,,,,,,0,120.82107,24.524538,000010,國道1號,0,0,頭屋交流道,苗栗交流道,132K+750,,NFB-CR,
89,CCTV-N1-S-133.67-M,0000100013330K,,,,,,0,120.81395,24.519447,000010,國道1號,0,0,苗栗交流道,銅鑼交流道,133K+670,,NFB-CR,
90,CCTV-N1-S-137.37-M,0000100013700K,,,,,,0,120.786575,24.499235,000010,國道1號,0,0,苗栗交流道,銅鑼交流道,137K+370,,NFB-CR,
91,CCTV-N1-S-140.06-M,0000100014000K,,,,,,0,120.78521,24.476122,000010,國道1號,0,0,苗栗交流道,銅鑼交流道,140K+060,,NFB-CR,
92,CCTV-N1-S-140.99-M,0000100014090K,,,,,,0,120.78787,24.468752,000010,國道1號,0,0,銅鑼交流道,三義交流道,140K+990,,NFB-CR,
93,CCTV-N1-S-144.68-M,0000100014400K,,,,,,0,120.77833,24.43735,000010,國道1號,0,0,銅鑼交流道,三義交流道,144K+680,,NFB-CR,
94,CCTV-N1-S-148.61-M,0000100014800K,,,,,,0,120.76675,24.404676,000010,國道1號,0,0,銅鑼交流道,三義交流道,148K+610,,NFB-CR,
95,CCTV-N1-S-150.11-M,0000100015000K,,,,,,0,120.75856,24.393448,000010,國道1號,0,0,銅鑼交流道,三義交流道,150K+110,,NFB-CR,
96,CCTV-N1-S-152.265-M,0000100015200K,,,,,,0,120.749405,24.37598,000010,國道1號,0,0,三義交流道,泰安服務區,152K+265,,NFB-CR,
97,CCTV-N1-S-156.025-M,0000100015600B,,,,,,0,120.72787,24.348537,000010,國道1號,0,0,三義交流道,泰安服務區,156K+025,,NFB-CR,
98,CCTV-N1-S-158.57-M,,,,,,,0,120.71172,24.330566,,,,,三義交流道,泰安服務區,158K+570,,NFB-CR,
99,CCTV-N1-S-158.87-M,0000100015880B,,,,,,0,120.71251,24.327187,000010,國道1號,0,0,三義交流道,泰安服務區,158K+870,,NFB-CR,
100,CCTV-N1-S-159-M,,,,,,,0,120.71064,24.329218,,,,,三義交流道,泰安服務區,159K+000,,NFB-CR,
101,CCTV-N1-S-159.99-M,0000100016000B,,,,,,0,120.7048,24.31825,000010,國道1號,0,0,泰安服務區,后里交流道,159K+990,,NFB-CR,
102,CCTV-N1-S-160.61-M,,,,,,,0,120.70137,24.313871,,,,,后里交流道,台中系統交流道,160K+610,,NFB-CR,
103,CCTV-N1-S-161.78-M,0000100016130B,,,,,,0,120.69828,24.304724,000010,國道1號,0,0,后里交流道,台中系統交流道,161K+780,,NFB-CR,
104,CCTV-N1-S-162.75-M,0000100016200B,,,,,,0,120.69593,24.296259,000010,國道1號,0,0,后里交流道,台中系統交流道,162K+750,,NFB-CR,
105,CCTV-N1-S-166.36-M,0000100016610B,,,,,,0,120.69189,24.263983,000010,國道1號,0,0,台中系統交流道,豐原交流道,166K+360,,NFB-CR,
106,CCTV-N1-S-167.55-M,0000100016700B,,,,,,0,120.690605,24.253338,000010,國道1號,0,0,台中系統交流道,豐原交流道,167K+550,,NFB-CR,
107,CCTV-N1-S-169.27-M,0000100016900B,,,,,,0,120.68839,24.237997,000010,國道1號,0,0,豐原交流道,大雅交流道,169K+270,,NFB-CR,
108,CCTV-N1-S-172.65-M,0000100017200B,,,,,,0,120.671234,24.212873,000010,國道1號,0,0,豐原交流道,大雅交流道,172K+650,,NFB-CR,
109,CCTV-N1-S-173.7-M,0000100017300B,,,,,,0,120.66224,24.208214,000010,國道1號,0,0,豐原交流道,大雅交流道,173K+700,,NFB-CR,
110,CCTV-N1-S-178.4-M,0000100017830B,,,,,,0,120.63258,24.177834,000010,國道1號,0,0,大雅交流道,台中交流道,178K+400,,NFB-CR,
111,CCTV-N1-S-183.15-M,0000100018300B,,,,,,0,120.61777,24.138557,000010,國道1號,0,0,南屯交流道,王田交流道,183K+150,,NFB-CR,
112,CCTV-N1-S-188.7-M,0000100018870B,,,,,,0,120.58685,24.118103,000010,國道1號,0,0,南屯交流道,王田交流道,188K+700,,NFB-CR,
113,CCTV-N1-S-190.685-M,0000100019060B,,,,,,0,120.56884,24.114212,000010,國道1號,0,0,王田交流道,彰化系統交流道,190K+685,,NFB-CR,
114,CCTV-N1-S-196.72-M,0000100019600N,,,,,,0,120.52522,24.081026,000010,國道1號,0,0,彰化系統交流道,彰化交流道,196K+720,,NFB-CR,
115,CCTV-N1-S-200.31-M,0000100020000N,,,,,,0,120.523705,24.049103,000010,國道1號,0,0,彰化交流道,埔鹽系統交流道,200K+310,,NFB-CR,
116,CCTV-N1-S-203.65-M,0000100020300N,,,,,,0,120.51596,24.020027,000010,國道1號,0,0,彰化交流道,埔鹽系統交流道,203K+650,,NFB-CR,
117,CCTV-N1-S-207.1-M,,,,,,,0,120.50817,23.98832,,,,,彰化交流道,埔鹽系統交流道,207K+100,,NFB-CR,
118,CCTV-N1-S-208.3-M,0000100020830N,,,,,,0,120.50651,23.979082,000010,國道1號,0,0,埔鹽系統交流道,員林交流道,208K+300,,NFB-CR,
119,CCTV-N1-S-214.14-M,0000100021400N,,,,,,0,120.49892,23.927519,000010,國道1號,0,0,員林交流道,北斗交流道,214K+140,,NFB-CR,
120,CCTV-N1-S-217.3-M,0000100021700N,,,,,,0,120.49673,23.899332,000010,國道1號,0,0,員林交流道,北斗交流道,217K+300,,NFB-CR,
121,CCTV-N1-S-218.27-M,0000100021870N,,,,,,0,120.49286,23.88929,000010,國道1號,0,0,員林交流道,北斗交流道,218K+270,,NFB-CR,
122,CCTV-N1-S-218.9-M,0000100021870N,,,,,,0,120.49204,23.885593,000010,國道1號,0,0,員林交流道,北斗交流道,218K+900,,NFB-CR,
123,CCTV-N1-S-222.05-M,0000100022200N,,,,,,0,120.48658,23.857754,000010,國道1號,0,0,北斗交流道,西螺服務區,222K+050,,NFB-CR,
124,CCTV-N1-S-223.16-M,0000100022300N,,,,,,0,120.48446,23.847963,000010,國道1號,0,0,北斗交流道,西螺服務區,223K+160,,NFB-CR,
125,CCTV-N1-S-228.5-M,0000100022800P,,,,,,0,120.48231,23.800142,000010,國道1號,0,0,北斗交流道,西螺服務區,228K+500,,NFB-CR,
126,CCTV-N1-S-229.465-M,,,,,,,0,120.47858,23.789831,,,,,西螺服務區,西螺交流道,229K+465,,NFB-CR,
127,CCTV-N1-S-229.6-M,,,,,,,0,120.47748,23.788523,,,,,西螺服務區,西螺交流道,229K+600,,NFB-CR,
128,CCTV-N1-S-229.75-M,,,,,,,0,120.476715,23.788193,,,,,西螺服務區,西螺交流道,229K+750,,NFB-CR,
129,CCTV-N1-S-235.75-M,0000100023540P,,,,,,0,120.47027,23.73558,000010,國道1號,0,0,西螺交流道,虎尾交流道,235K+750,,NFB-CR,
130,CCTV-N1-S-237-M,0000100023650P,,,,,,0,120.473595,23.726673,000010,國道1號,0,0,虎尾交流道,斗南交流道,237K+000,,NFB-CR,
131,CCTV-N1-S-239.45-M,0000100023900P,,,,,,0,120.4748,23.70284,000010,國道1號,0,0,虎尾交流道,斗南交流道,239K+450,,NFB-CR,
132,CCTV-N1-S-240.4-M,0000100024040P,,,,,,0,120.47294,23.696644,000010,國道1號,0,0,虎尾交流道,斗南交流道,240K+400,,NFB-CR,
133,CCTV-N1-S-243.5-M,0000100024350P,,,,,,0,120.458824,23.671972,000010,國道1號,0,0,斗南交流道,雲林系統交流道,243K+500,,NFB-CR,
134,CCTV-N1-S-243.95-M,0000100024350P,,,,,,0,120.45661,23.668463,000010,國道1號,0,0,雲林系統交流道,大林交流道,243K+950,,NFB-CR,
135,CCTV-N1-S-246.78-M,0000100024600P,,,,,,0,120.44507,23.645332,000010,國道1號,0,0,雲林系統交流道,大林交流道,246K+780,,NFB-CR,
136,CCTV-N1-S-248.05-M,0000100024800P,,,,,,0,120.44156,23.634369,000010,國道1號,0,0,雲林系統交流道,大林交流道,248K+050,,NFB-CR,
137,CCTV-N1-S-249.31-M,0000100024900Q,,,,,,0,120.43843,23.62095,000010,國道1號,0,0,雲林系統交流道,大林交流道,249K+310,,NFB-CR,
138,CCTV-N1-S-251.45-M,0000100025110Q,,,,,,0,120.43526,23.602055,000010,國道1號,0,0,大林交流道,民雄交流道,251K+450,,NFB-SR,
139,CCTV-N1-S-252.638-M,0000100025200Q,,,,,,0,120.43263,23.591335,000010,國道1號,0,0,大林交流道,民雄交流道,252K+638,,NFB-SR,
140,CCTV-N1-S-255.8-M,0000100025600Q,,,,,,0,120.42,23.565277,000010,國道1號,0,0,大林交流道,民雄交流道,255K+800,,NFB-SR,
141,CCTV-N1-S-257.075-M,0000100025700Q,,,,,,0,120.417,23.556866,000010,國道1號,0,0,大林交流道,民雄交流道,257K+075,,NFB-SR,
142,CCTV-N1-S-257.1-M,,,,,,,0,120.354805,23.404366,,,,,大林交流道,民雄交流道,257K+100,,NFB-SR,
143,CCTV-N1-S-262.005-M,0000100026200Q,,,,,,0,120.40357,23.514448,000010,國道1號,0,0,民雄交流道,嘉義交流道,262K+005,,NFB-SR,
144,CCTV-N1-S-262.4-M,0000100026200Q,,,,,,0,120.40175,23.508055,000010,國道1號,0,0,民雄交流道,嘉義交流道,262K+400,,NFB-SR,
145,CCTV-N1-S-264.245-M,,,,,,,0,120.390785,23.495335,,,,,民雄交流道,嘉義交流道,264K+245,,NFB-SR,
146,CCTV-N1-S-264.998-M,0000100026530Q,,,,,,0,120.38693,23.48957,000010,國道1號,0,0,嘉義交流道,水上交流道,264K+998,,NFB-SR,
147,CCTV-N1-S-265.41-M,0000100026530Q,,,,,,0,120.38472,23.486387,000010,國道1號,0,0,嘉義交流道,水上交流道,265K+410,,NFB-SR,
148,CCTV-N1-S-266.994-M,0000100026700Q,,,,,,0,120.37865,23.473284,000010,國道1號,0,0,嘉義交流道,水上交流道,266K+994,,NFB-SR,
149,CCTV-N1-S-274.784-M,0000100027400Q,,,,,,0,120.35463,23.410637,000010,國道1號,0,0,嘉義系統交流道,新營服務區,274K+784,,NFB-SR,
150,CCTV-N1-S-275.1-M,0000100027500Q,,,,,,0,120.354805,23.404366,000010,國道1號,0,0,嘉義系統交流道,新營服務區,275K+100,,NFB-SR,
151,CCTV-N1-S-275.553-M,0000100027580D,,,,,,0,120.35504,23.400757,000010,國道1號,0,0,嘉義系統交流道,新營服務區,275K+553,,NFB-SR,
152,CCTV-N1-S-277.3-M,0000100027700D,,,,,,0,120.35466,23.385033,000010,國道1號,0,0,嘉義系統交流道,新營服務區,277K+300,,NFB-SR,
153,CCTV-N1-S-278.988-M,0000100027800D,,,,,,0,120.350845,23.37342,000010,國道1號,0,0,嘉義系統交流道,新營服務區,278K+988,,NFB-SR,
154,CCTV-N1-S-280.7-M,0000100028140D,,,,,,0,120.33833,23.358334,000010,國道1號,0,0,嘉義系統交流道,新營服務區,280K+700,,NFB-SR,
155,CCTV-N1-S-282.7-M,0000100028300D,,,,,,0,120.32286,23.34823,000010,國道1號,0,0,嘉義系統交流道,新營服務區,282K+700,,NFB-SR,
156,CCTV-N1-S-284.2-M,0000100028400D,,,,,,0,120.312065,23.34003,000010,國道1號,0,0,嘉義系統交流道,新營服務區,284K+200,,NFB-SR,
157,CCTV-N1-S-284.201-M,0000100028400D,,,,,,0,120.312065,23.34003,000010,國道1號,0,0,新營服務區,新營交流道,284K+201,,NFB-SR,
158,CCTV-N1-S-285-M,0000100028500D,,,,,,0,120.30677,23.334211,000010,國道1號,0,0,新營服務區,新營交流道,285K+000,,NFB-SR,
159,CCTV-N1-S-286.5-M,,,,,,,0,120.30989,23.337748,,,,,新營服務區,新營交流道,286K+500,,NFB-SR,
160,CCTV-N1-S-288-M,0000100028810D,,,,,,0,120.29263,23.310139,000010,國道1號,0,0,新營服務區,新營交流道,288K+000,,NFB-SR,
161,CCTV-N1-S-289.559-M,0000100028950D,,,,,,0,120.28409,23.298197,000010,國道1號,0,0,新營交流道,下營系統交流道,289K+559,,NFB-SR,
162,CCTV-N1-S-293.49-M,0000100029300D,,,,,,0,120.263336,23.268888,000010,國道1號,0,0,新營交流道,下營系統交流道,293K+490,,NFB-SR,
163,CCTV-N1-S-294.115-M,0000100029400D,,,,,,0,120.260956,23.263935,000010,國道1號,0,0,新營交流道,下營系統交流道,294K+115,,NFB-SR,
164,CCTV-N1-S-295.998-M,0000100029600D,,,,,,0,120.25322,23.248571,000010,國道1號,0,0,新營交流道,下營系統交流道,295K+998,,NFB-SR,
165,CCTV-N1-S-296.998-M,0000100029700D,,,,,,0,120.24882,23.240503,000010,國道1號,0,0,新營交流道,下營系統交流道,296K+998,,NFB-SR,
166,CCTV-N1-S-298.379-M,0000100029800D,,,,,,0,120.24451,23.232176,000010,國道1號,0,0,新營交流道,下營系統交流道,298K+379,,NFB-SR,
167,CCTV-N1-S-299.91-M,0000100029800D,,,,,,0,120.24389,23.231112,000010,國道1號,0,0,下營系統交流道,麻豆交流道,299K+910,,NFB-SR,
168,CCTV-N1-S-301.004-M,0000100030100D,,,,,,0,120.236595,23.206348,000010,國道1號,0,0,下營系統交流道,麻豆交流道,301K+004,,NFB-SR,
169,CCTV-N1-S-301.9-M,0000100030200D,,,,,,0,120.2363,23.198467,000010,國道1號,0,0,下營系統交流道,麻豆交流道,301K+900,,NFB-SR,
170,CCTV-N1-S-302.744-M,0000100030300D,,,,,,0,120.236176,23.191221,000010,國道1號,0,0,下營系統交流道,麻豆交流道,302K+744,,NFB-SR,
171,CCTV-N1-S-303.8-M,,,,,,,0,120.232765,23.180895,,,,,麻豆交流道,安定交流道,303K+800,,NFB-SR,
172,CCTV-N1-S-304.71-M,0000100030500D,,,,,,0,120.23361,23.172777,000010,國道1號,0,0,麻豆交流道,安定交流道,304K+710,,NFB-SR,
173,CCTV-N1-S-306.005-M,0000100030600D,,,,,,0,120.231735,23.16511,000010,國道1號,0,0,麻豆交流道,安定交流道,306K+005,,NFB-SR,
