dbId,domainId,eqId,freewayId,latitude,locationId,longitude,mainDirection,url
2030532,P,CCTV-N5-N-18.271-M,10050,24.916604,0,121.733275,2,https://cctvp02.freeway.gov.tw/mjpeg/X01001510210501
2030533,P,CCTV-N5-N-18.307-PS,10050,24.916476,0,121.733549,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401807
2030534,P,CCTV-N5-N-18.308-M,10050,24.916391,0,121.733514,2,https://cctvp02.freeway.gov.tw/mjpeg/X01001510210601
2030535,P,CCTV-N5-N-18.313-C,10050,24.916293,0,121.7335,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403510
2030536,P,CCTV-N5-N-18.335-P,10050,24.915867,0,121.733182,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403512
2030537,P,CCTV-N5-N-18.393-M,10050,24.915932,0,121.734078,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401808
2030538,P,CCTV-N5-N-18.478-M,10050,24.915502,0,121.734615,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401809
2030539,P,CCTV-N5-N-18.566-M,10050,24.914983,0,121.735282,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401810
2030540,P,CCTV-N5-N-18.650-P,10050,24.914036,0,121.735546,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403514
2030541,P,CCTV-N5-N-18.654-M,10050,24.914414,0,121.735995,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401811
2030542,P,CCTV-N5-N-18.662-C,10050,24.91427,0,121.735986,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403513
2030543,P,CCTV-N5-N-18.742-M,10050,24.913899,0,121.736681,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401812
2030544,P,CCTV-N5-N-18.829-M,10050,24.913419,0,121.737285,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401813
2030545,P,CCTV-N5-N-18.917-M,10050,24.912783,0,121.738099,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401814
2030546,P,CCTV-N5-N-19.004-M,10050,24.912348,0,121.738655,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401815
2030547,P,CCTV-N5-N-19.012-C,10050,24.912133,0,121.738747,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403515
2030548,P,CCTV-N5-N-19.035-P,10050,24.911791,0,121.738505,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403516
2030549,P,CCTV-N5-N-19.092-M,10050,24.911869,0,121.739267,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401816
2030550,P,CCTV-N5-N-19.117-PS,10050,24.911784,0,121.739503,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401608
2030551,P,CCTV-N5-N-19.179-M,10050,24.911337,0,121.739967,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401607
2030552,P,CCTV-N5-N-19.267-M,10050,24.910824,0,121.740638,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401609
2030553,P,CCTV-N5-N-19.354-M,10050,24.910281,0,121.741333,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401610
2030554,P,CCTV-N5-N-19.361-C,10050,24.910129,0,121.741372,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403311
2030555,P,CCTV-N5-N-19.441-M,10050,24.909796,0,121.74198,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401611
2030556,P,CCTV-N5-N-19.527-M,10050,24.909227,0,121.742691,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500401612
2030557,P,CCTV-N5-N-19.618-M,10050,24.90865,0,121.743431,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402201
2030558,P,CCTV-N5-N-19.675-P,10050,24.908057,0,121.74328,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403707
2030559,P,CCTV-N5-N-19.689-C,10050,24.908368,0,121.743658,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403705
2030560,P,CCTV-N5-N-19.705-PS,10050,24.908387,0,121.743917,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402202
2030561,P,CCTV-N5-N-19.707-M,10050,24.908297,0,121.7439,2,https://cctvp02.freeway.gov.tw/mjpeg/X01001510211101
2030562,P,CCTV-N5-N-19.793-M,10050,24.907774,0,121.744568,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402203
2030563,P,CCTV-N5-N-19.877-M,10050,24.907344,0,121.745148,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402204
2030564,P,CCTV-N5-N-19.966-M,10050,24.906726,0,121.74591,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402205
2030565,P,CCTV-N5-N-20.054-M,10050,24.906361,0,121.746425,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402206
2030566,P,CCTV-N5-N-20.062-C,10050,24.906206,0,121.746484,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403708
2030567,P,CCTV-N5-N-20.142-M,10050,24.905751,0,121.747217,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402207
2030568,P,CCTV-N5-N-20.229-M,10050,24.905168,0,121.747971,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402208
2030569,P,CCTV-N5-N-20.317-M,10050,24.904682,0,121.74859,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402209
2030570,P,CCTV-N5-N-20.404-M,10050,24.904178,0,121.749234,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402210
2030571,P,CCTV-N5-N-20.412-C,10050,24.904039,0,121.74925,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403709
2030572,P,CCTV-N5-N-20.420-P,10050,24.903696,0,121.748913,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403710
2030573,P,CCTV-N5-N-20.492-M,10050,24.903755,0,121.749786,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402211
2030574,P,CCTV-N5-N-20.579-M,10050,24.90323,0,121.750445,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402212
2030575,P,CCTV-N5-N-20.667-M,10050,24.902595,0,121.751217,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402213
2030576,P,CCTV-N5-N-20.752-C,10050,24.901896,0,121.751873,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403711
2030577,P,CCTV-N5-N-20.754-M,10050,24.902054,0,121.75185,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402214
2030578,P,CCTV-N5-N-20.841-M,10050,24.901432,0,121.752546,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402215
2030579,P,CCTV-N5-N-20.928-M,10050,24.900878,0,121.753129,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402216
2030580,P,CCTV-N5-N-21.000-M,10050,24.900564,0,121.753498,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402301
2030581,P,CCTV-N5-N-21.022-M,10050,24.900447,0,121.753631,2,https://cctvp02.freeway.gov.tw/mjpeg/X01001510211201
2030582,P,CCTV-N5-N-21.055-C,10050,24.900194,0,121.753799,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403713
2030583,P,CCTV-N5-N-21.056-M,10050,24.90029,0,121.753805,2,https://cctvp02.freeway.gov.tw/mjpeg/X01001510211301
2030584,P,CCTV-N5-N-21.056-PS,10050,24.90035,0,121.753876,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402302
2030585,P,CCTV-N5-N-21.060-P,10050,24.899728,0,121.753604,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403716
2030586,P,CCTV-N5-N-21.150-M,10050,24.899525,0,121.754553,2,https://cctvp02.freeway.gov.tw/mjpeg/X01001510211401
2030587,P,CCTV-N5-N-21.170-M,10050,24.899362,0,121.754697,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402303
2030588,P,CCTV-N5-N-21.217-PS,10050,24.899079,0,121.755037,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402305
2030589,P,CCTV-N5-N-21.280-M,10050,24.898639,0,121.755417,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402304
2030590,P,CCTV-N5-N-21.369-M,10050,24.898012,0,121.755995,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402306
2030591,P,CCTV-N5-N-21.444-C,10050,24.897313,0,121.756449,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403801
2030592,P,CCTV-N5-N-21.457-M,10050,24.89723,0,121.756649,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402307
